date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:38	112/112	---M--	200	added ('OK')	text/css	etag:%225a3a4d17-70%22	http://glanz.starkethemes.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/css/styles.css	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/css/styles.css	(from http://glanz.starkethemes.com/)
14:28:39	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%225a3a4d16-791c%22	http://glanz.starkethemes.com/wp-content/plugins/unyson/framework/static/libs/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/plugins/unyson/framework/static/libs/font-awesome/css/font-awesome.min.css	(from http://glanz.starkethemes.com/)
14:28:39	866/866	---M--	200	added ('OK')	text/xml	date:Tue,%2003%20Aug%202021%2018:28:33%20GMT	http://glanz.starkethemes.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/xmlrpc0db0.php	(from http://glanz.starkethemes.com/)
14:28:40	2236/2236	---MCZ	200	added ('OK')	application/json	date:Tue,%2003%20Aug%202021%2018:28:34%20GMT	http://glanz.starkethemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fglanz.starkethemes.com%2F	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-json/oembed/1.0/embed0256.json	(from http://glanz.starkethemes.com/)
14:28:40	334334/334334	---MCZ	200	added ('OK')	application/json	date:Tue,%2003%20Aug%202021%2018:28:34%20GMT	http://glanz.starkethemes.com/wp-json/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-json/index.html	(from http://glanz.starkethemes.com/)
14:28:41	2337/2337	---MCZ	200	added ('OK')	text/xml	date:Tue,%2003%20Aug%202021%2018:28:35%20GMT	http://glanz.starkethemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fglanz.starkethemes.com%2F&format=xml	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-json/oembed/1.0/embed78b2	(from http://glanz.starkethemes.com/)
14:28:44	52904/52904	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:28:38%20GMT	http://glanz.starkethemes.com/home-1-animated-flowers/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/home-1-animated-flowers/index.html	(from http://glanz.starkethemes.com/)
14:28:52	71426/71426	---M--	200	added ('OK')	image/gif	etag:%22595dc72d-11702%22	http://glanz.starkethemes.com/wp-content/themes/glanztheme/images/animations/just.gif	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/themes/glanztheme/images/animations/just.gif	(from http://glanz.starkethemes.com/)
14:28:53	77702/77702	---M--	200	added ('OK')	image/jpeg	etag:%22595dc515-12f86%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/pr1-900x510.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/pr1-900x510.jpg	(from http://glanz.starkethemes.com/)
14:28:54	69612/69612	---M--	200	added ('OK')	image/jpeg	etag:%22595dc515-10fec%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/pr2-900x510.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/pr2-900x510.jpg	(from http://glanz.starkethemes.com/)
14:28:55	58439/58439	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:28:49%20GMT	http://glanz.starkethemes.com/home-2-pink-animated-flowers/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/home-2-pink-animated-flowers/index.html	(from http://glanz.starkethemes.com/)
14:28:58	57875/57875	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:28:51%20GMT	http://glanz.starkethemes.com/home-3-golden-badges/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/home-3-golden-badges/index.html	(from http://glanz.starkethemes.com/)
14:28:59	39931/39931	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:28:53%20GMT	http://glanz.starkethemes.com/home-4-great-flowers/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/home-4-great-flowers/index.html	(from http://glanz.starkethemes.com/)
14:29:00	40253/40253	---M--	200	added ('OK')	image/jpeg	etag:%22595dc515-9d3d%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/pr3-600x340.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/pr3-600x340.jpg	(from http://glanz.starkethemes.com/)
14:29:02	49817/49817	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:28:56%20GMT	http://glanz.starkethemes.com/home-5-great-flowers/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/home-5-great-flowers/index.html	(from http://glanz.starkethemes.com/)
14:29:03	52093/52093	---M--	200	added ('OK')	image/jpeg	etag:%22595dc515-cb7d%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/pr4-600x340.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/pr4-600x340.jpg	(from http://glanz.starkethemes.com/)
14:29:05	39291/39291	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:28:58%20GMT	http://glanz.starkethemes.com/home-6-great-flowers/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/home-6-great-flowers/index.html	(from http://glanz.starkethemes.com/)
14:29:07	53679/53679	---M--	200	added ('OK')	image/jpeg	etag:%22595dc515-d1af%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/pr5-600x340.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/pr5-600x340.jpg	(from http://glanz.starkethemes.com/)
14:29:09	42941/42941	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:29:02%20GMT	http://glanz.starkethemes.com/home-pege-7/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/home-pege-7/index.html	(from http://glanz.starkethemes.com/)
14:29:11	60775/60775	---M--	200	added ('OK')	image/jpeg	etag:%22595dc515-ed67%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/pr6-600x340.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/pr6-600x340.jpg	(from http://glanz.starkethemes.com/)
14:29:12	43405/43405	---M--	200	added ('OK')	image/jpeg	etag:%22595dc515-a98d%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/pr7-600x340.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/pr7-600x340.jpg	(from http://glanz.starkethemes.com/)
14:29:13	28260/28260	---M--	200	added ('OK')	image/jpeg	etag:%22595dc515-6e64%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/pr8-600x340.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/pr8-600x340.jpg	(from http://glanz.starkethemes.com/)
14:29:13	49250/49250	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:29:07%20GMT	http://glanz.starkethemes.com/home-8-landing/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/home-8-landing/index.html	(from http://glanz.starkethemes.com/)
14:29:15	48606/48606	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:29:09%20GMT	http://glanz.starkethemes.com/wedding-planner/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wedding-planner/index.html	(from http://glanz.starkethemes.com/)
14:29:19	34692/34692	---M--	200	added ('OK')	image/jpeg	etag:%22595dc514-8784%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/b1-600x340.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/b1-600x340.jpg	(from http://glanz.starkethemes.com/)
